id,name,surname,adress,birthDate,phoneNumber,sex
1,Halyna,Balanenko,Lviv,2014-02-24 00:00:00,380444940639,f
2,Fedir,Bilenko,Lviv,2008-11-03 00:00:00,380722429216,m
3,Svitlana,Lysenko,Strii,2007-07-13 00:00:00,380840537444,f
4,Roman,Pavlenko,Frankivsk,2012-06-01 00:00:00,380516690737,m
5,Svitlana,Usenko,Odesa,2016-09-17 00:00:00,380468334472,f
6,Ivan,Kovalko,Sambir,2008-09-09 00:00:00,380470721486,m
7,Halyna,Melko,Lviv,2009-05-18 00:00:00,380796616118,f
8,Andrii,Oleksiyenko,Odesa,2013-05-20 00:00:00,380849552466,m
9,Halyna,Antonenko,Pynyani,2007-01-07 00:00:00,380897843727,f
10,Fedir,Kovalenko,Lviv,2007-11-05 00:00:00,380918805302,m
11,Larysa,Melko,Strii,2007-04-20 00:00:00,380100575276,f
12,Andrii,Pavlenko,Lviv,2013-07-07 00:00:00,380517962030,m
13,Daryna,Nesterenko,Kyiv,2012-07-22 00:00:00,380178835924,f
14,Ivan,Sydorenko,Lviv,2011-07-01 00:00:00,380497037848,m
15,Kateryna,Kovalenko,Kyiv,2012-08-01 00:00:00,380858221819,f
16,Bohdan,Nesterenko,Frankivsk,2011-08-11 00:00:00,380108927516,m
17,Svitlana,Fedorenko,Pynyani,2014-05-24 00:00:00,380565312135,f
18,Fedir,Romanchuko,Lviv,2012-01-23 00:00:00,380667702687,m
19,Zhanna,Bilenko,Rivne,2012-12-05 00:00:00,380656483579,f
20,Vitalii,Fedorenko,Rivne,2012-04-14 00:00:00,380310228698,m
21,Svitlana,Yevdokymenko,Kyiv,2010-02-07 00:00:00,380752501387,f
22,Vitalii,Balanenko,Frankivsk,2012-11-04 00:00:00,380163046758,m
23,Svitlana,Yevdokymenko,Sambir,2015-03-05 00:00:00,380933665932,f
24,Fedir,Danylenko,Lviv,2013-11-20 00:00:00,380724009893,m
25,Zhanna,Melko,Pynyani,2014-06-09 00:00:00,380885890755,f
26,Bohdan,Fedorenko,Frankivsk,2010-06-12 00:00:00,380276749385,m
27,Veronika,Antonenko,Odesa,2010-11-18 00:00:00,380110146793,f
28,Andrii,Balanenko,Lviv,2011-10-17 00:00:00,380823221581,m
29,Halyna,Ivanchenko,Frankivsk,2012-02-10 00:00:00,380321016155,f
30,Roman,Lysenko,Kyiv,2007-09-07 00:00:00,380274408414,m
31,Halyna,Pavlenko,Frankivsk,2014-08-01 00:00:00,380217076035,f
32,Pavlo,Kovalenko,Kyiv,2012-06-09 00:00:00,380619971689,m
33,Kateryna,Romanchuko,Sambir,2008-12-15 00:00:00,380407709636,f
34,Oleh,Yevdokymenko,Odesa,2014-12-26 00:00:00,380553375906,m
35,Halyna,Kovalenko,Frankivsk,2013-02-10 00:00:00,380769349003,f
36,Vitalii,Balanenko,Pynyani,2016-05-06 00:00:00,380714872259,m
37,Nataliia,Usenko,Rivne,2010-08-10 00:00:00,380347623852,f
38,Bohdan,Balanenko,Sambir,2007-08-01 00:00:00,380132827537,m
39,Daryna,Danylenko,Pynyani,2016-01-03 00:00:00,380887027359,f
40,Fedir,Ivanchenko,Frankivsk,2008-10-22 00:00:00,380784631055,m
41,Veronika,Usenko,Pynyani,2014-12-18 00:00:00,380531064530,f
42,Ivan,Ivanchenko,Rivne,2009-08-12 00:00:00,380885861697,m
43,Nataliia,Kovalenko,Odesa,2010-08-31 00:00:00,380199541200,f
44,Fedir,Vasylchenko,Pynyani,2010-09-22 00:00:00,380200807543,m
45,Veronika,Ivanchenko,Strii,2013-09-16 00:00:00,380687300272,f
46,Oleh,Fedorenko,Sambir,2012-04-27 00:00:00,380679031741,m
47,Zhanna,Melko,Pynyani,2009-06-09 00:00:00,380943229309,f
48,Fedir,Antonenko,Kyiv,2013-03-20 00:00:00,380569449615,m
49,Daryna,Yevdokymenko,Odesa,2010-04-14 00:00:00,380896521587,f
50,Vitalii,Tkachenko,Lviv,2012-02-18 00:00:00,380248311838,m
51,Nataliia,Sydorenko,Lviv,2010-08-04 00:00:00,380905496940,f
52,Pavlo,Oleksiyenko,Sambir,2010-01-17 00:00:00,380267272520,m
53,Halyna,Pavlenko,Odesa,2016-06-13 00:00:00,380588784072,f
54,Ivan,Sydorenko,Sambir,2016-03-07 00:00:00,380792873542,m
55,Zhanna,Pavlenko,Lviv,2010-03-12 00:00:00,380220908838,f
56,Vitalii,Bilenko,Kyiv,2008-08-14 00:00:00,380458388067,m
57,Larysa,Vasylchenko,Strii,2015-09-13 00:00:00,380056674491,f
58,Andrii,Fedorenko,Strii,2015-03-26 00:00:00,380514958622,m
59,Kateryna,Vasylchenko,Lviv,2016-11-21 00:00:00,380189635409,f
60,Pavlo,Antonenko,Sambir,2009-07-16 00:00:00,380711649895,m
61,Larysa,Kovalko,Sambir,2014-07-09 00:00:00,380533455353,f
62,Oleh,Balanenko,Sambir,2007-10-10 00:00:00,380108579013,m
63,Larysa,Lysenko,Lviv,2014-10-20 00:00:00,380916426901,f
64,Vitalii,Antonenko,Strii,2013-09-15 00:00:00,380896802535,m
65,Veronika,Oleksiyenko,Odesa,2016-06-18 00:00:00,380327391679,f
66,Bohdan,Nesterenko,Odesa,2013-02-08 00:00:00,380622461936,m
67,Larysa,Kovalenko,Pynyani,2015-06-19 00:00:00,380732097093,f
68,Vitalii,Kovalenko,Kyiv,2011-06-19 00:00:00,380154951573,m
69,Zhanna,Bilenko,Odesa,2007-05-03 00:00:00,380644441582,f
70,Andrii,Nesterenko,Odesa,2012-10-21 00:00:00,380733276142,m
71,Kateryna,Vasylchenko,Lviv,2016-09-18 00:00:00,380197397965,f
72,Ivan,Romanchuko,Strii,2010-04-17 00:00:00,380172148183,m
73,Nataliia,Antonenko,Strii,2007-12-20 00:00:00,380287016522,f
